¢#0,©#0,§#604200
¢#0,§#0
¢#0,©#437340,§#0
¢#0,©#0,§#260640
¢#0,©#7440,§#532560
¢#0,©#58740,§#4680
¢#0,©#60,§#840
¢#0,¢#633720,©#1462980,ª#0,©#240480,§#180,©#5280,ª#0,©#12720,§#60
¢#0,©#1200,§#120
¢#0,©#0,§#22920,§#0
¢#0,©#2280,§#180
¢#0,©#780,§#948600
¢#0,©#320160,§#1141080
¢#0,©#1200,§#58920
¢#0,©#720,§#163680
¢#0,©#11100,§#15720
¢#0,©#0,ª#5340,©#1281660,§#0
¢#0,©#4620,§#60
¢#0,©#2340,§#1620
¢#0,¢#171300,©#60,§#0
¢#0,§#2820
¢#0,©#0,ª#82560,©#603660,§#60,©#837840,§#3480
¢#0,©#431580,§#0
¢#0,©#4260,§#111000
¢#0,©#0,§#0
¢#0,©#1800,§#60240
¢#0,©#345540,§#9300,§#0
¢#0,©#1280160,§#270720
¢#0,©#0,§#1980
¢#0,©#275760,§#0
¢#0,©#333840,§#710700
¢#0,©#163680,ª#1050120,§#1098240
¢#0,©#3240,§#87240
¢#0,©#2245860,§#234060
¢#0,©#623100,§#253500
¢#0,©#60,§#5820
¢#0,©#0,ª#600,§#1804080
¢#0,©#778620,§#927060
¢#0,©#16860,§#0,©#60,£#0,§#0,©#0,£#0,§#0
¢#0,©#257280,ª#4080,©#102420,ª#2400,©#1097400,§#0
¢#0,©#89340,§#248280
¢#0,©#60,§#60
¢#0,©#2280,§#9060,§#0
¢#0,©#507000,§#93900
¢#0,©#60,§#19680
¢#0,©#228360,§#30780
¢#0,©#81240,§#416100
¢#0,©#0,ª#420,§#701040,©#500220,ª#2460,§#612360
¢#0,©#87720,§#626880
¢#0,©#0,§#3960
¢#0,¢#600,©#78060,§#60
¢#0,©#0,§#88260
¢#0,©#63840,§#18840
¢#0,©#66000,§#60
¢#0,©#0,§#5400
¢#0,ª#6480,©#2960640,§#0
¢#0,©#0,§#60
¢#0,§#60,§#0
¢#0,©#691740,ª#257700,©#15600,ª#176880,§#143580
¢#0,©#1436700,§#840
¢#0,¢#284100,©#60,ª#4500,ª#0,©#0,§#60
¢#0,©#271320,§#934800
¢#0,©#60,§#11940
¢#0,©#240,§#72180
¢#0,©#76680,§#3634800
¢#0,©#0,§#3300
¢#0,©#6120,§#60
¢#0,¢#60,¢#74100,©#60,§#60
¢#0,©#1896720,§#23520
¢#0,©#240,§#0
¢#0,©#10020,§#87720
¢#0,¢#2682300,©#0,§#343260
¢#0,©#0,§#175680
¢#0,©#0,§#2340
¢#0,©#1620,§#2073900
¢#0,§#322320,§#0
¢#0,©#0,§#1080
¢#0,©#180,§#10320
¢#0,©#226920,§#540
¢#0,¢#2154060,¢#0,©#0,ª#333360,©#88320,§#0
¢#0,©#1117020,ª#1800,§#367320
¢#0,ª#840,§#630360
¢#0,©#1380,§#180
¢#0,§#4860
¢#0,©#0,§#349680
¢#0,©#260580,§#180
¢#0,©#91920,§#360
¢#0,©#8820,§#3960
¢#0,©#339720,ª#525120,§#697200
¢#0,¢#1206300,©#300,§#1663260
¢#0,©#174900,§#427680
¢#0,©#74400,§#0
¢#0,§#64260
¢#0,©#12540,§#672060
¢#0,¢#240840,©#24720,§#0
¢#0,©#10080,§#357060
¢#0,©#2460,§#12600
¢#0,¢#0,©#0,§#1467660
¢#0,©#540,§#165300
¢#0,©#81660,ª#5100,§#1750920
¢#0,©#540,§#0
¢#0,©#120,§#614640
¢#0,©#60,§#261420
¢#0,©#86760,ª#240,©#342120,§#0
¢#0,©#1680,ª#20640,©#64800,§#60
¢#0,©#0,§#87360
¤#0,¢#180,©#0,§#1020
¢#0,©#0,§#18900
©#0,§#19560
¢#0,©#81300,ª#1653480,§#1269180
¢#0,©#4020,§#1374360
¢#0,©#0,§#64260
¢#0,¢#2880,©#168900,ª#0,©#120,ª#660,©#3120,§#0
¢#0,©#8520,ª#60,ª#3201180,§#234360
¢#0,§#4140,§#0
¢#0,©#0,§#21480
¢#0,©#60,ª#97860,©#73560,ª#280260,©#2139240,§#60
¢#0,©#87600,ª#23760,§#1896660
¢#0,©#0,ª#4680,§#54480
¢#0,©#0,ª#69900,©#349200,§#0
¢#0,©#60,©#29820,ª#480,©#2567940,§#60
¢#0,©#5220,§#434760
¢#0,©#120,§#1186500
¢#0,©#240,§#68760
¢#0,©#0,§#300
¢#0,©#189720,§#1010220
¢#0,©#240,§#8340
¢#0,¢#1205700,©#3300,§#21600
¢#0,©#27360,ª#406740,§#966180
¢#0,©#1216800,§#0
¢#0,©#720,§#60
¢#0,¢#3540,©#415620,§#0
¢#0,¢#143820,©#60,§#1140
¢#0,©#4680,§#4980
¢#0,©#60,§#1680
¢#0,©#2220,§#72420
¢#0,©#698160,§#6120
¤#0,¢#60,©#346260,§#82320,©#99780,ª#71040,©#1232820,§#480
¢#0,§#180
¢#0,©#0,ª#21900,ª#1615920,ª#0,§#1386180
¢#0,§#19020
¢#0,©#60,§#202440,§#0
¢#0,©#1186200,ª#60,©#516360,§#0
¢#0,©#60,§#120
¢#0,©#172260,§#409020
¢#0,ª#592380,©#1566360,ª#0,©#419100,§#60
¢#0,§#0
¢#0,©#355380,ª#10380,§#68520
¢#0,©#0,§#166560
¤#0,¢#18600,©#65100,§#0,©#446760,§#4740
¢#0,©#354360,§#2040,©#1545240,§#258180
¢#0,©#0,§#2400
¢#0,©#0,§#1680
¢#0,©#1364940,§#3480
